cnpj_coop,nome_coop,naturezaJuridica,classe,situacao,regimeEspecial,logradouro,complemento,bairro,municipio,uf,cep,endereco_eletronico,email,segmento_prudencial,filiacao
20833992,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO CENTRO UNIVERSITÁRIO NEWTON PAIVA LTDA. - CREDIPAIVA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA CATUMBI N 166,,CAIÇARA,BELO HORIZONTE,MG,31230070,bancocentral@credipaiva.com.br,bancocentral@credipaiva.com.br,S5,
2093154,"COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO MAGAZINE LUIZA, EMPRESAS CONTROLADAS E COLIGADAS - COOPLUIZA",Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA DO COMÉRCIO,1.924",,CENTRO,FRANCA,SP,14400660,coopmaia@lojasmaia.com.br,coopmaia@lojasmaia.com.br,S5,
5292849,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS EM EMPRESAS ADMINISTRADORAS DE AEROPORTOS - AEROCRED,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA DOUTOR RAMOS DE AZEVEDO  N  159,CONJUNTO 1708   17  ANDAR    ED CENTRAL OFFICE,CENTRO,GUARULHOS,SP,07012020,aerocred@aerocred.org.br,aerocred@aerocred.org.br,S5,
3674133,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS EM INSTITUIÇÕES DO SISTEMA FINANCEIRO NAS REGIÕES DE SÃO PAULO E CAMPINAS (SP) - CREDISCOOP,Sociedade Cooperativa,,Autorizada em Atividade,false,"PRACA ANTONIO PRADO, 33","18 ANDAR, CONJ 1801",CENTRO,SAO PAULO,SP,01010010,sac@crediscoop.com.br,sac@crediscoop.com.br,S5,
5747018,"COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FIEP, SESI, SENAI, IEL E DO CONDOMÍNIO EDIFÍCIO AGOSTINHO VELLOSO DA SILVEIRA (CEAVS  - CREDFISP LTDA.",Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA MANOEL GONÇALVES GUIMARAES, 195",PREDIO FIEP,JOSÉ PINHEIRO,CAMPINA GRANDE,PB,58407363,credfispcg@hotmail.com,credfispcg@hotmail.com,S5,
6077760,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA RICLAN,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  PRESIDENTE KENNEDY  754,,ESTADIO,RIO CLARO,SP,13501900,coopriclan@riclan.com.br,coopriclan@riclan.com.br,S5,
53932869,COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS FERROVIÁRIAS NO ESTADO DE SÃO PAULO,Sociedade Cooperativa,,Autorizada em Atividade,false,R ALICE VELHO TEIXEIRA  53,,PRESIDENTE ALTINO,OSASCO,SP,06213050,coofer@uol.com.br,coofer@uol.com.br,S5,
2083914,COOPERATIVA DE CRÉDITO MÚTUO DOS POLICIAIS FEDERAIS E SERVIDORES DA UNIÃO NO ESPÍRITO SANTO - CREDFEDERAL,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA VALE DO RIO DOCE,01,SÃO TORQUATO,VILA VELHA,ES,29114105,credfederal@credfederal.coop.br,credfederal@credfederal.coop.br,S5,
1709266,COOPERATIVA DE CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE E LIVRE ADMISSÃO DE TEÓFILO OTONI LTDA. - UNICRED TRÊS VALES,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA PADRE VIRGULINO  687,,CENTRO,TEOFILO OTONI,MG,39800025,ucmg0015@unicredmg.com.br,ucmg0015@unicredmg.com.br,S5,
71163315,"COOPERATIVA DE CRÉDITO MÚTUO DOS PROFISSIONAIS DE NÍVEL SUPERIOR DA SAÚDE, ARQUITETOS E URBANISTAS DE SETE LAGOAS E REGIÃO LTDA - UNICRED SETE LAGOAS",Sociedade Cooperativa,,Autorizada em Atividade,false,RUA CANDIDO AZEREDO 67,,CENTRO,SETE LAGOAS,MG,35700019,ucmg0001@unicredmg.com.br,ucmg0001@unicredmg.com.br,S5,
4791645,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DA ASSEMBLEIA LEGISLATIVA DO ESTADO DE SÃO PAULO - COOPERALESP,Sociedade Cooperativa,,Autorizada em Atividade,false,"AV PEDRO ALVARES CABRAL, 201 - PAL 9 DE JULHO -S/S",SALA  2,PARQUE IBIRAPUERA,SAO PAULO,SP,04097900,cooperalesp@al.sp.gov.br,cooperalesp@al.sp.gov.br,S5,
4804353,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DA SEGURANÇA PÚBLICA DE SÃO PAULO - CREDIAFAM,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA DR. GABRIEL PIZA, 425",2 ANDAR,SANTANA,SAO PAULO,SP,02036011,crediafam@afam.com.br,crediafam@afam.com.br,S5,
53800488,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DE ÓRGAOS GESTORES DE RECURSOS HÍDRICOS DO ESTADO DE SÃO PAULO - COOPERHIDRO,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA BOA VISTA, 170",3.- SUBSOLO,CENTRO,SAO PAULO,SP,01014000,cooperhidro@cooperhidro.org.br,cooperhidro@cooperhidro.org.br,S5,
73092827,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DO MINISTERIO DA EDUCAÇÃO EM SÃO PAULO - COOPEMESP,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA PEDRO VICENTE  625,,LUZ,SAO PAULO,SP,01109010,coopemesp@uol.com.br,coopemesp@uol.com.br,S5,
2275781,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES FEDERAIS NA PARAÍBA - SICOOB COOPERCRET,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  PRIMEIRO DE MAIO  720,,JAGUARIBE,JOAO PESSOA,PB,58015430,coopercret-pb@sicoobne.com.br/coopercret@terra.com.br,coopercret-pb@sicoobne.com.br/coopercret@terra.com.br,S5,
5969937,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE BEBEDOURO - COOCRESB.,Sociedade Cooperativa,,Autorizada em Atividade,false,"PRAÇA BARÃO DO RIO BRANCO, 99",,CENTRO,BEBEDOURO,SP,14700129,coocresb@mdbrasil.com.br,coocresb@mdbrasil.com.br,S5,
74248949,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE SÃO JOÃO DA BOA VISTA - CREDIVISTA,Sociedade Cooperativa,,Autorizada em Atividade,false,R SENADOR SARAIVA  59,,CENTRO,SAO JOAO DA BOA VISTA,SP,13870020,credivista@credivista.com.br,credivista@credivista.com.br,S5,
881829,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE JABOTICABAL - COOPERSERV,Sociedade Cooperativa,,Autorizada em Atividade,false,"AVENIDA TREZE DE MAIO, 556",,CENTRO,JABOTICABAL,SP,14870160,carla@cooperserv.org.br,carla@cooperserv.org.br,S5,
3612679,COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE SÃO BERNARDO DO CAMPO - CREDIABC,Sociedade Cooperativa,,Autorizada em Atividade,false,"TRAVESSA DOS VIANAS, 65",,BAETA NEVES,SAO BERNARDO DO CAMPO,SP,09760040,credisbc@uol.com.br,credisbc@uol.com.br,S5,
6942423,COOPERATIVA DE CRÉDITO MÚTUO DOS TRABALHADORES DO SISTEMA FINANCEIRO DE CURITIBA E REGIÃO - COOPCREFI,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA DESEMBARGADOR WESTPHALEN,N  637,CENTRO,CURITIBA,PR,80010110,eustaquio@bancariosdecuritiba.org.br,eustaquio@bancariosdecuritiba.org.br,S5,
5477038,COOPERATIVA DE CRÉDITO NO PIAUÍ - SICOOB PIAUÍ,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA GOVERNADOR TIBERIO NUNES  N  255,,CABRAL,TERESINA,PI,64000750,juriscred-pi@sicoobne.com.br,juriscred-pi@sicoobne.com.br,S5,
86564051,COOPERATIVA DE CRÉDITO NOROESTE DE MINAS LTDA. - SICOOB NOROESTE DE MINAS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA SAO JOSE,667,CENTRO,UNAI,MG,38610026,unai317900@sicoobcrediminas.com.br,unai317900@sicoobcrediminas.com.br,S5,
3419786,COOPERATIVA DE CRÉDITO NOSSA SENHORA DO DESTERRO - SICOOB CREDISC,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA ANITA GARIBALDI  77,,CENTRO,FLORIANOPOLIS,SC,88010500,credisc@credisc.com.br,credisc@credisc.com.br,S5,
22760839,COOPERATIVA DE CRÉDITO NOSSOCRÉDITO LTDA - SICOOB NOSSOCRÉDITO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA DOUTOR PLACIDINO BRIGAGAO  927,,CENTRO,SAO SEBASTIAO DO PARAISO,MG,37950000,ssparaiso317200@sicoobcrediminas.com.br,ssparaiso317200@sicoobcrediminas.com.br,S5,
81292278,COOPERATIVA DE CRÉDITO ORIGINAL - SICOOB ORIGINAL,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA DOM PEDRO II, 1421","EDIFÍCIO EXCELLENTIA INTERCOOPERATION, 1- ANDAR",BRASILIA,SAO LOURENCO D'OESTE,SC,89990000,sicoobsl@sicoobsl.com.br,sicoobsl@sicoobsl.com.br,S5,
4484490,COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO DA ALTA NOROESTE DE SÃO PAULO - SICREDI ALTA NOROESTE SP,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA SAUDADES  100,,CENTRO,BIRIGUI,SP,16200025,americo_pechy@sicredi.com.br,americo_pechy@sicredi.com.br,S4,
26408187,COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO PANTANAL DO MATO GROSSO DO SUL - SICREDI PANTANAL MS,Sociedade Cooperativa,,Autorizada em Atividade,false,MARIO CORREA  1250,LOTE A 03   QUADRA 22,SAN RAPHAEL,MARACAJU,MS,79150000,altair_goncalves@sicredi.com.br,altair_goncalves@sicredi.com.br,S4,
87510475,COOPERATIVA DE CRÉDITO ROTA DAS TERRAS - SICREDI ROTA DAS TERRAS RS/MG,Sociedade Cooperativa,,Autorizada em Atividade,false,"RODOVIA ERS 223, KM 28",,DISTRITO INDUSTRIAL,TAPERA,RS,99490000,sicreditapera@zaz.com.br,sicreditapera@zaz.com.br,S4,
44373041,COOPERATIVA DE CRÉDITO RURAL - CREDICANA,Sociedade Cooperativa,,Autorizada em Atividade,false,AV PROFESSOR JOSE BOLFARINI N 237,,JARDIM MORUMBI,ASSIS,SP,19815530,credicana@credicana.com.br,credicana@credicana.com.br,S5,
7564184,COOPERATIVA DE CRÉDITO RURAL ASCOOB SERTÕES - ASCOOB SERTÕES,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA BRAULIO CAVALCANTE N  436,,CENTRO,PAO DE ACUCAR,AL,57400000,cocreal_al@yahoo.com.br,cocreal_al@yahoo.com.br,S5,
76461557,COOPERATIVA DE CRÉDITO RURAL COOPAVEL,Sociedade Cooperativa,,Autorizada em Atividade,false,RODOVIA BR 277  KM 591,,PARQUE SAO PAULO,CASCAVEL,PR,85803490,credicoopavel@credicoopavel.com.br,credicoopavel@credicoopavel.com.br,S5,
1073966,COOPERATIVA DE CRÉDITO RURAL DE ABELARDO LUZ - SULCREDI/CREDILUZ,Sociedade Cooperativa,,Autorizada em Atividade,false,"AV. CASTELO BRANCO,",570,CENTRO,ABELARDO LUZ,SC,89830000,abelardoluz@cresol.com.br,abelardoluz@cresol.com.br,S5,
71207740,COOPERATIVA DE CRÉDITO RURAL DE IRAÍ DE MINAS LTDA -SICOOB CREDIMIL,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA PRIMEIRO DE MARCO  N  175,,CENTRO,IRAI DE MINAS,MG,38510000,irai312900@sicoobcrediminas.com.br,irai312900@sicoobcrediminas.com.br,S5,
1330387,COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CENTRO OESTE DO PARANÁ - CREHNOR LARANJEIRAS,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA CORONEL GUILHERME DE PAULA, N° 1111",COMERCIAL,CENTRO,LARANJEIRAS DO SUL,PR,85301220,pr.catrini@crehnor.com.br,pr.catrini@crehnor.com.br,S5,
8253539,COOPERATIVA DE CRÉDITO RURAL DE SÃO MIGUEL DO OESTE - SULCREDI/SÃO MIGUEL,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA PADRE AURELIO CANZI,1833,CENTRO,SAO MIGUEL D'OESTE,SC,89900000,saomiguel@cresol.com.br,saomiguel@cresol.com.br,S5,
8482873,COOPERATIVA DE CRÉDITO RURAL DO AGRESTE ALAGOANO - COOPERAGRE,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA JOAQUIM TORRES, 01",,CENTRO,IGACI,AL,57620000,cooperagre_al@yahoo.com.br,cooperagre_al@yahoo.com.br,S5,
49654502,COOPERATIVA DE CRÉDITO RURAL DOS FORNECEDORES DE CANA DA REGIÃO DE CATANDUVA-COFOCRED,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA AMAZONAS, 361",,CENTRO,CATANDUVA,SP,15800050,cofocred@uol.com.br,cofocred@uol.com.br,S5,
52623311,COOPERATIVA DE CRÉDITO RURAL DOS PLANTADORES DE CANA DA REGIÃO DE IGARAPAVA,Sociedade Cooperativa,,Autorizada em Atividade,false,AV CORONEL QUITO  134,,CENTRO,IGARAPAVA,SP,14540000,crerural@terra.com.br,crerural@terra.com.br,S5,
12272183,COOPERATIVA DE CRÉDITO RURAL DOS PLANTADORES DE CANA DE ALAGOAS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA SA E ALBUQUERQUE  544,,JARAGUA,MACEIO,AL,57022180,coplan@coplan.coop.br,coplan@coplan.coop.br,S5,
2904138,COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE ÁUREA - CRESOL ÁUREA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA PORTO ALEGRE  410,SALA 2,,AUREA,RS,99835000,centenario@cresolcentral.com.br,centenario@cresolcentral.com.br,S5,
5241145,COOPERATIVA DE CRÉDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE GETÚLIO VARGAS - CRESOL GETÚLIO VARGAS,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA SEVERIANO DE ALMEIDA  402,,,GETULIO VARGAS,RS,99900000,getuliovargas@cresolcentral.com.br,getuliovargas@cresolcentral.com.br,S5,
71154256,COOPERATIVA DE CRÉDITO SACRAMENTO LTDA - SICOOB SACRAMENTO,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  BENEDITO VALADARES  73,,CENTRO,SACRAMENTO,MG,38190000,sacramento316500@sicoobcrediminas.com.br,sacramento316500@sicoobcrediminas.com.br,S5,
4013172,COOPERATIVA DE CRÉDITO SICOOB 3 COLINAS,Sociedade Cooperativa,,Autorizada em Atividade,false,"AVENIDA PAULO VI, 733",,PARQUE DOS LIMAS,FRANCA,SP,14403138,cred-acif@credacif.com.br,cred-acif@credacif.com.br,S5,
6174009,COOPERATIVA DE CRÉDITO SICOOB ALIANÇA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA GALDINO GLUCK JUNIOR  280,SALA 201,CENTRO,APUCARANA,PR,86800670,sicoobapucarana@net21.com.br,sicoobapucarana@net21.com.br,S5,
7097064,COOPERATIVA DE CRÉDITO SICOOB CONFIANÇA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA GOIAS  1231,,CENTRO,MARECHAL CANDIDO RONDON,PR,85960000,sicoob@sicoobmarechal.com.br,sicoob@sicoobmarechal.com.br,S5,
4174720,COOPERATIVA DE CRÉDITO SICOOB COOPEMAR LTDA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA RUI BARBOSA  N  152,,CENTRO,MAIRI,BA,44630000,coopemar@terra.com.br,coopemar@terra.com.br,S5,
62673470,COOPERATIVA DE CRÉDITO SICOOB COOPMIL,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA VENCESLAU BRÁS, 175/179",,CENTRO,SAO PAULO,SP,01016000,darci@coopmil.coop.br,darci@coopmil.coop.br,S4,
1205736,COOPERATIVA DE CRÉDITO SICOOB COSTA DO DESCOBRIMENTO LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,PRACA DA INDEPENDENCIA  60,,CENTRO,ITAMARAJU,BA,45836000,sicoobitamaraju@dstech.com.br,sicoobitamaraju@dstech.com.br,S5,
2528151,COOPERATIVA DE CRÉDITO SICOOB CREDCOOP LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,"PRAÇA JOAQUIM CORREIA, N°. 55",,CENTRO,VITORIA DA CONQUISTA,BA,45000907,credcoop@credcoop.com.br,credcoop@credcoop.com.br,S5,
4529074,COOPERATIVA DE CRÉDITO SICOOB CREDICAPITAL,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  TOLEDO  247,,CENTRO,CASCAVEL,PR,85810230,sicoobcascavel@sicoobcascavel.com.br,sicoobcascavel@sicoobcascavel.com.br,S5,
3535065,COOPERATIVA DE CRÉDITO SICOOB CREDMETAL,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA ERASMO BRAGA  310,,PRESIDENTE ALTINO,OSASCO,SP,06213000,credmeta@credmetal.com.br,credmeta@credmetal.com.br,S5,
2935307,COOPERATIVA DE CRÉDITO SICOOB CREDSEGURO LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA C -139, QUADRA 337, LOTE 03",,JARDIM AMERICA,GOIANIA,GO,74275070,credseguro@sicoobcredseguro.com.br,credseguro@sicoobcredseguro.com.br,S5,
4388688,COOPERATIVA DE CRÉDITO SICOOB ENGECRED LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA REPUBLICA DO LIBANO  N  2 397,QD  D 7  LT 74,SETOR OESTE,GOIANIA,GO,74125125,sicoobengecred@sicoobengecred.com.br,sicoobengecred@sicoobengecred.com.br,S5,
2447120,COOPERATIVA DE CRÉDITO SICOOB EXTREMO SUL LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA ANTONIO CHICON SOBRINHO  141,,CENTRO,TEIXEIRA DE FREITAS,BA,45985202,sicoobtxf@sicoobteixeira.com.br,sicoobtxf@sicoobteixeira.com.br,S5,
24610065,COOPERATIVA DE CRÉDITO SICOOB IPÊ - SICOOB IPÊ,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA MATO GROSSO  N   3 195,,SANTA FE,CAMPO GRANDE,MS,79021151,cocresul@cocresul.coop.br,cocresul@cocresul.coop.br,S5,
71506513,COOPERATIVA DE CRÉDITO SICOOB ITAPAGIPE LTDA - SICOOB ITAPAGIPE,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA 07,575,CENTRO,ITAPAGIPE,MG,38240000,itapagipe313100@sicoobcrediminas.com.br,itapagipe313100@sicoobcrediminas.com.br,S5,
3459850,COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  PEDRO TAQUES  294,SOBRELOJA 2,ZONA 03,MARINGA,PR,87030008,controladoria@sicoobmetropolitano.com.br,controladoria@sicoobmetropolitano.com.br,S5,
7318874,COOPERATIVA DE CRÉDITO SICOOB MÉDIO OESTE,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  DOM PEDRO II  245,,JARDIM AMERICA,ASSIS CHATEAUBRIAND,PR,85935000,sicoob@sicoobassis.com.br,sicoob@sicoobassis.com.br,S5,
2876918,COOPERATIVA DE CRÉDITO SICOOB NORTE SUL LTDA,Sociedade Cooperativa,,Autorizada em Atividade,false,PRACA SIMOES FILHO  55   SALAS 101 102,SHOPPING GAN,CENTRO,GANDU,BA,45450000,credigan@gandunet.com.br,credigan@gandunet.com.br,S5,
5582619,COOPERATIVA DE CRÉDITO SICOOB OURO VERDE,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA PARANA 646,1  ANDAR,CENTRO,LONDRINA,PR,86010390,controladoria@sicoobnortepr.com.br,controladoria@sicoobnortepr.com.br,S5,
2057584,COOPERATIVA DE CRÉDITO SICOOB SERTÃO LTDA,Sociedade Cooperativa,,Autorizada em Atividade,false,PRACA HONORATO GONCALVES  N  84,,CENTRO,PINTADAS,BA,44610000,sicoobsertao@sicoobsertao.coop.br,sicoobsertao@sicoobsertao.coop.br,S5,
86389236,COOPERATIVA DE CRÉDITO SICOOB UNI SUDESTE,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA VINTE E DOIS DE MAIO  57,,CENTRO,UBA,MG,36500060,ucmg0010@unicredmg.com.br,ucmg0010@unicredmg.com.br,S5,
37554441,COOPERATIVA DE CRÉDITO SICOOB UNI SUL MS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA OLIVEIRA MARQUES  2020,,JARDIM CENTRAL,DOURADOS,MS,79805021,unicred@unicred-dou.com.br,unicred@unicred-dou.com.br,S5,
1042487,COOPERATIVA DE CRÉDITO SICOOB UNIDAS,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  ALMIRANTE BARROSO  2926,,SOUZA,BELEM,PA,66613710,eletrocred@eletrocred.com.br,eletrocred@eletrocred.com.br,S5,
2466552,COOPERATIVA DE CRÉDITO SICOOB VALE SUL,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA ANTONIO DE PAIVA CANTELMO  N  590,,INDUSTRIAL,FRANCISCO BELTRAO,PR,85601270,cresud@wmail.com.br,cresud@wmail.com.br,S5,
26359745,COOPERATIVA DE CRÉDITO SICOOBMAIS  LTDA. - SICOOBMAIS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA HUM,30,CENTRO,IGUATAMA,MG,38910000,iguatama312700@sicoobcrediminas.com.br,iguatama312700@sicoobcrediminas.com.br,S5,
9343038,COOPERATIVA DE CRÉDITO SICREDI ALTO SERTÃO PARAIBANO - SICREDI ALTO SERTÃO PARAIBANO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA JOÃO PESSOA 25,,CENTRO,SOUSA,PB,58800010,unicredaltosertaopb@unicredaltosertaopb.com.br,unicredaltosertaopb@unicredaltosertaopb.com.br,S5,
41255225,COOPERATIVA DE CRÉDITO SICREDI CENTRO PERNAMBUCANA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA  SALDANHA MARINHO  34,,MAURICIO DE NASSAU,CARUARU,PE,55012740,martonio.vasconcelos@unicredcentrope.com.br,martonio.vasconcelos@unicredcentrope.com.br,S5,
90608712,COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA VINTE E CINCO DE SETEMBRO  777,,CENTRO,CARLOS BARBOSA,RS,95185000,sicredi@lottinet.com.br,sicredi@lottinet.com.br,S4,
5888589,COOPERATIVA DE CRÉDITO SUL - SICOOB SUL,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA BENJAMIN LINS, 610",,BATEL,CURITIBA,PR,80420100,controladoria@sicoobsul.com.br,controladoria@sicoobsul.com.br,S5,
32467086,COOPERATIVA DE CRÉDITO SUL DO ESPÍRITO SANTO - SICOOB SUL,Sociedade Cooperativa,,Autorizada em Atividade,false,"AV. DR. ARISTIDES CAMPOS, 355",,BASILEIA,CACHOEIRO DE ITAPEMIRIM,ES,29302801,cachoeiro@sicoobes.com.br,cachoeiro@sicoobes.com.br,S5,
32474884,COOPERATIVA DE CRÉDITO SUL-LITORÂNEA DO ESPÍRITO SANTO,Sociedade Cooperativa,,Autorizada em Atividade,false,"AV. GETULIO VARGAS, 683",,CENTRO,ALFREDO CHAVES,ES,29240000,sullitoraneo@sicoobes.com.br,sullitoraneo@sicoobes.com.br,S5,
815319,COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO,Sociedade Cooperativa,,Autorizada em Atividade,false,"AVENIDA ANGELO ALTOÉ, 340",,SÃO PEDRO,VENDA NOVA DO IMIGRANTE,ES,29375000,sulserrano@sicoobes.com.br,sulserrano@sicoobes.com.br,S5,
26178111,COOPERATIVA DE CRÉDITO UNIÃO CENTRO OESTE LTDA. - SICOOB UNIÃO CENTRO OESTE,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  BENEDITO VALADARES,590,CENTRO,LAGOA DA PRATA,MG,35590028,lagoaprata313600@sicoobcrediminas.com.br,lagoaprata313600@sicoobcrediminas.com.br,S5,
65239402,COOPERATIVA DE CRÉDITO UNIÃO DO CENTRO OESTE DE MINAS LTDA. - SICOOB CENTRO UNIÃO,Sociedade Cooperativa,,Autorizada em Atividade,false,PRACA PRIMEIRO DE JANEIRO  25,,CENTRO,CARMO DO CAJURU,MG,35557000,sicoob.carmocredi@sicoobcarmocredi.com.br,sicoob.carmocredi@sicoobcarmocredi.com.br,S5,
977212,COOPERATIVA DE CRÉDITO UNICOPER,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  DAS NACOES UNIDAS  14261,ALA A1   13   ANDAR   UNICOPER,VILA GERTRUDES,SAO PAULO,SP,04794000,unicoper@copersucar.com.br,unicoper@copersucar.com.br,S5,
184068,COOPERATIVA DE CRÉDITO UNICRED CENTRAL MULTIRREGIONAL LTDA. - UCM,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA PADRE MARINHO 37,11  ANDAR,SANTA EFIGENIA,BELO HORIZONTE,MG,30140040,supervisao@unicredmg.com.br,supervisao@unicredmg.com.br,S4,
75847,COOPERATIVA DE CRÉDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA ANTONIO DE LUCCA  191,,CENTRO,CRICIUMA,SC,88811503,unicred-cri@unicred-cri.com.br,unicred-cri@unicred-cri.com.br,S5,
4355489,COOPERATIVA DE CRÉDITO UNICRED COOMARCA LTDA. - COOMARCA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA EMILIO BLUM  131,TORRE B  9  ANDAR,CENTRO,FLORIANOPOLIS,SC,88020010,marcia@coomarca.com.br,marcia@coomarca.com.br,S5,
1039011,COOPERATIVA DE CRÉDITO UNICRED DESBRAVADORA LTDA - UNICRED DESBRAVADORA,Sociedade Cooperativa,,Autorizada em Atividade,false,"AVENIDA GETÚLIO DORNELES VARGAS, N 1183",11° ANDAR,CENTRO,CHAPECO,SC,89802002,unicred@unicred-oestesc.com.br,unicred@unicred-oestesc.com.br,S5,
1727929,COOPERATIVA DE CRÉDITO UNICRED EVOLUÇÃO LTDA. - UNICRED EVOLUÇÃO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA MAJOR GOTE 179,,ALTO CAICARAS,PATOS DE MINAS,MG,38700001,ucmg0020@unicredmg.com.br,ucmg0020@unicredmg.com.br,S5,
1796302,COOPERATIVA DE CRÉDITO UNICRED REGIÃO DOS VALES LTDA. - UNICRED REGIÃO DOS VALES,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA BAGE  55,,BOA VISTA,NOVO HAMBURGO,RS,93410220,valedosinos@unicred-rs.com.br,valedosinos@unicred-rs.com.br,S5,
74114042,COOPERATIVA DE CRÉDITO UNICRED UNIÃO LTDA - UNICRED UNIÃO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA CAMBORIU 519,,CENTRO,ITAJAI,SC,88301451,unicred@unicred-litoral.com.br,unicred@unicred-litoral.com.br,S5,
